Day of isolation,Mean,Lower_CI,Upper_CI
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.25,0.0,1.0
4,0.5,0.0,2.0
5,0.75,0.0,3.0
6,1.0681818181818181,0.0,4.0
7,1.5909090909090908,0.0,5.0
8,2.3863636363636362,0.0,6.0
9,3.3863636363636362,1.0,7.0
10,4.386363636363637,2.0,8.0
11,5.386363636363637,3.0,9.0
12,6.386363636363637,4.0,10.0
13,7.386363636363637,5.0,11.0
14,8.386363636363637,6.0,12.0
15,9.386363636363637,7.0,13.0
16,10.386363636363637,8.0,14.0
17,11.386363636363637,9.0,15.0
18,12.386363636363637,10.0,16.0
19,13.386363636363637,11.0,17.0
20,14.386363636363637,12.0,18.0
21,15.386363636363637,13.0,19.0
22,16.386363636363637,14.0,20.0
23,17.386363636363637,15.0,21.0
24,18.386363636363637,16.0,22.0
25,19.386363636363637,17.0,23.0
26,20.386363636363637,18.0,24.0
27,21.386363636363637,19.0,25.0
28,22.386363636363637,20.0,26.0
29,23.386363636363637,21.0,27.0
30,24.386363636363637,22.0,28.0
