Day of isolation,Mean,Lower_CI,Upper_CI
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.25742574257425743,0.0,1.0
4,0.6311881188118812,0.0,2.0
5,1.131188118811881,0.0,3.0
6,1.7227722772277227,0.0,4.0
7,2.3465346534653464,0.0,5.0
8,2.995049504950495,0.0,6.0
9,3.6485148514851486,0.0,7.0
10,4.301980198019802,0.0,8.0
11,4.957920792079208,0.0,9.0
12,5.638613861386139,0.0,10.0
13,6.346534653465347,0.0,11.0
14,7.064356435643564,0.0,12.0
15,7.794554455445544,0.0,13.0
16,8.53960396039604,0.0,14.0
17,9.299504950495049,0.0,15.0
18,10.084158415841584,0.0,16.0
19,10.898514851485148,0.0,17.0
20,11.757425742574258,0.0,18.0
21,12.628712871287128,0.0,19.0
22,13.5,0.0,20.0
23,14.393564356435643,0.0,21.0
24,15.292079207920793,0.0,22.0
25,16.195544554455445,0.0,23.0
26,17.099009900990097,0.0,24.0
27,18.004950495049506,0.0,25.0
28,18.918316831683168,0.0,26.0
29,19.836633663366335,0.0,27.0
30,20.757425742574256,0.0,28.0
