Day of isolation,Mean,Lower_CI,Upper_CI
0,14.869021032632245,12.075000000000273,17.0
1,13.870487650411652,11.075000000000273,16.0
2,12.877229092363589,10.075000000000273,15.0
3,11.884803839872005,9.075000000000273,14.0
4,10.89662011266291,8.075000000000273,13.0
5,9.910936302123263,7.075000000000273,12.0
6,8.92652744908503,6.075000000000273,11.0
7,7.9429352354921505,5.075000000000273,10.0
8,6.960201326622446,4.075000000000273,9.0
9,5.9787007099763345,3.075000000000273,8.0
10,4.998491716942769,2.075000000000273,7.0
11,4.019924335855471,1.0750000000002728,6.0
12,3.0430152328255726,0.07500000000027285,5.0
13,2.0680227325755807,0.0,4.0
14,1.1149211692943568,0.0,3.0
15,0.4076864104529849,0.0,2.0
16,0.15034498850038333,0.0,1.0
17,0.08968867704409852,0.0,0.0
18,0.06980600646645112,0.0,0.0
19,0.058814706176460785,0.0,0.0
20,0.05043165227825739,0.0,0.0
21,0.042931902269924334,0.0,0.0
22,0.03609879670677644,0.0,0.0
23,0.029999000033332224,0.0,0.0
24,0.02444918502716576,0.0,0.0
25,0.019391020299323356,0.0,0.0
26,0.014807839738675378,0.0,0.0
27,0.010591313622879238,0.0,0.0
28,0.006766441118629379,0.0,0.0
29,0.0032582247258424717,0.0,0.0
30,0.0,0.0,0.0
