Day of isolation,Mean,Lower_CI,Upper_CI
0,0.0,0.0,0.0
1,4.999500049995001e-05,0.0,0.0
2,0.00144985501449855,0.0,0.0
3,0.0254974502549745,0.0,0.0
4,0.05699430056994301,0.0,1.0
5,0.09246575342465753,0.0,2.0
6,0.13123687631236877,0.0,3.0
7,0.17095790420957904,0.0,4.0
8,0.21300369963003699,0.0,5.0
9,0.2613988601139886,0.0,6.0
10,0.3163433656634337,0.0,7.0
11,0.377987201279872,0.0,8.0
12,0.4442055794420558,0.0,9.0
13,0.5155734426557345,0.0,10.0
14,0.6023147685231477,0.0,11.0
15,0.8678132186781322,0.0,12.0
16,1.5466453354664533,0.0,13.0
17,2.4336316368363162,0.0,14.0
18,3.375862413758624,0.0,15.0
19,4.332766723327667,0.0,16.0
20,5.293845615438456,0.0,17.0
21,6.258124187581242,0.0,18.0
22,7.224652534746525,0.0,19.0
23,8.193105689431057,0.0,20.0
24,9.163958604139586,0.0,21.0
25,10.137486251374863,0.0,22.0
26,11.112763723627637,1.0,23.0
27,12.08929107089291,2.0,24.0
28,13.067393260673933,3.0,25.0
29,14.046795320467954,4.0,26.0
30,15.027247275272472,5.0,27.0
