Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,1.0,1.0
1,1.0,1.0,1.0
2,0.9993,0.9992,0.9994
3,0.9989,0.9987,0.9991
4,0.9984,0.9981,0.9985
5,0.9976,0.9974,0.9979
6,0.9966,0.9963,0.9968
7,0.9959,0.9956,0.9962
8,0.9952,0.9948,0.9955
9,0.9942,0.9938,0.9946
10,0.9935,0.9931,0.9939
11,0.9932,0.9928,0.9936
12,0.9931,0.9926,0.9935
13,0.9924,0.9919,0.9928
14,0.976,0.9752,0.9767
15,0.7815,0.7794,0.7835
16,0.3365,0.3342,0.3388
17,0.0955,0.0941,0.0969
18,0.0346,0.0337,0.0355
19,0.0189,0.0182,0.0196
20,0.0141,0.0136,0.0147
21,0.0123,0.0118,0.0128
22,0.0102,0.0097,0.0107
23,0.0091,0.0087,0.0096
24,0.008,0.0076,0.0085
25,0.0075,0.0071,0.0079
26,0.0066,0.0062,0.007
27,0.0059,0.0055,0.0062
28,0.0052,0.0049,0.0056
29,0.0047,0.0044,0.0051
30,0.0045,0.0042,0.0048
