Day of isolation,Mean,Lower_CI,Upper_CI
0,12.491762705932352,11.0,14.0
1,11.495768855778605,10.0,13.0
2,10.502218694532637,9.0,12.0
3,9.510443488912777,8.0,11.0
4,8.521130721731957,7.0,10.0
5,7.5329116772080695,6.0,9.0
6,6.545417614559636,5.0,8.0
7,5.558579785505362,4.0,7.0
8,4.572679433014175,3.0,6.0
9,3.5872040698982524,2.0,5.0
10,2.602022449438764,1.0,4.0
11,1.6177908052298693,0.0,3.0
12,0.6637771555711107,0.0,2.0
13,0.13941526461838455,0.0,1.0
14,0.044886377840553986,0.0,0.0
15,0.0284430389240269,0.0,0.0
16,0.021274468138296542,0.0,0.0
17,0.016555836104097398,0.0,0.0
18,0.012937176570585735,0.0,0.0
19,0.010018499537511561,0.0,0.0
20,0.007806054848628784,0.0,0.0
21,0.006012349691257719,0.0,0.0
22,0.004549886252843679,0.0,0.0
23,0.0032999175020624483,0.0,0.0
24,0.0022811929701757458,0.0,0.0
25,0.0013874653133671658,0.0,0.0
26,0.0007937301567460814,0.0,0.0
27,0.00036874078148046297,0.0,0.0
28,0.00013749656258593536,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
