Day of isolation,Mean,Lower_CI,Upper_CI
0,0.0,0.0,0.0
1,0.0898876404494382,0.0,1.0
2,0.2144194756554307,0.0,2.0
3,0.3879525593008739,0.0,3.0
4,0.6807116104868914,0.0,4.0
5,1.002808988764045,0.0,5.0
6,1.3536204744069913,0.0,6.0
7,1.734394506866417,0.0,7.0
8,2.1495006242197254,0.0,8.0
9,2.5755305867665417,0.0,9.0
10,3.0287141073657926,0.0,10.0
11,3.534956304619226,0.0,11.0
12,4.066167290886392,0.0,12.0
13,4.699438202247191,0.0,13.0
14,5.467852684144819,0.0,14.0
15,6.332084893882647,0.0,15.0
16,7.227528089887641,0.0,16.0
17,8.14294631710362,0.0,17.0
18,9.075530586766542,0.0,18.0
19,10.018102372034956,0.0,19.0
20,10.967540574282147,0.0,20.0
21,11.924157303370787,0.0,21.0
22,12.891697877652934,0.0,22.0
23,13.865480649188514,0.0,23.0
24,14.84394506866417,1.0,24.0
25,15.825842696629213,2.0,25.0
26,16.80867665418227,3.0,26.0
27,17.79307116104869,4.0,27.0
28,18.77965043695381,5.0,28.0
29,19.775280898876403,6.0,29.0
30,20.775280898876403,7.0,30.0
