Day of isolation,Mean,Lower_CI,Upper_CI
0,12.71893422884234,0.0,54.07368128046453
1,12.71893422884234,0.0,54.07368128046453
2,11.816805077341991,0.0,52.00270431729675
3,11.064541985633584,0.0,49.645514508142355
4,10.44183462422157,0.0,47.28707483581809
5,9.867041789649567,0.0,44.96728079540583
6,9.306820261669774,0.0,42.69058251401265
7,8.761349483273085,0.0,40.457557421222575
8,8.230671750094604,0.0,38.26829629160248
9,7.714800265313988,0.0,36.12281596154811
10,7.213740195608563,0.0,34.02112008013039
11,6.727493932931567,0.0,31.963209553742825
12,6.256062732445872,0.0,29.94908463862176
13,5.7994473169196255,0.0,27.97874541650705
14,5.357648132196277,0.0,26.052191915371214
15,4.930665467260839,0.0,24.169424132476482
16,4.518499521747762,0.0,22.33044208215136
17,4.121150432979847,0.0,20.535245768648853
18,3.7386183001984112,0.0,18.78383518978325
19,3.370903197212722,0.0,17.0762103531001
20,3.018005176073544,0.0,15.412371250792171
21,2.6799242778614176,0.0,13.792317887459062
22,2.3566605333457833,0.0,12.216050263923197
23,2.0482139653393943,0.0,10.683568358243058
24,1.7545845944769483,0.0,9.194872198106879
25,1.4757724352723223,0.0,7.749961795569329
26,1.2105067603568396,0.0,6.348837123681332
27,0.9529625265482354,0.0,4.991498203529876
28,0.70313973353346,0.0,3.677945029807005
29,0.4610383817629504,0.0,2.4081776096373755
30,0.22665847088608568,0.0,1.1821959375016426
