Day of isolation,Mean,Lower_CI,Upper_CI
0,9.432942403234728,0.0,68.67186896477774
1,9.432942403234728,0.0,68.67186896477774
2,8.281259307813139,0.0,64.79942740264953
3,7.265414553553662,0.0,61.036184413320164
4,6.33941187529575,0.0,57.38213999438247
5,5.503617872020905,0.0,53.83729412764077
6,4.758728835169434,0.0,50.40164683477393
7,4.104703171028221,0.0,47.07519812875606
8,3.541275853851097,0.0,43.85794799223638
9,3.070232933930302,0.0,40.74989642576118
10,2.6634719862717615,0.0,37.75104342847008
11,2.3119644980079412,0.0,34.86138902038936
12,2.010930158590204,0.0,32.08093316655465
13,1.7534318117658776,0.0,29.409675911760758
14,1.5338318953204526,0.0,26.847617226027488
15,1.3429945706578716,0.0,24.39475711050931
16,1.173826067422999,0.0,22.051095559155762
17,1.0228815481119131,0.0,19.81663257174175
18,0.8875007443736662,0.0,17.691368148827323
19,0.764996110324906,0.0,15.67530229026834
20,0.6546724351002043,0.0,13.768434995500511
21,0.5549156379935981,0.0,11.970766265100893
22,0.4654114731626623,0.0,10.282296099097652
23,0.3861599406077903,0.0,8.703024497464021
24,0.31716104034216525,0.0,7.232951460116874
25,0.2580388072011972,0.0,5.872076987175467
26,0.20415611824397228,0.0,4.620401078450364
27,0.15475591161925528,0.0,3.4779237341783737
28,0.10964019650915652,0.0,2.4446449540701893
29,0.06880897286799427,0.0,1.5205647384558132
30,0.032262240694927585,0.0,0.7056830869633348
