Day of isolation,Mean,Lower_CI,Upper_CI
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.6818181818181818,0.0,1.0
7,1.6818181818181819,1.0,2.0
8,2.6818181818181817,2.0,3.0
9,3.6818181818181817,3.0,4.0
10,4.681818181818182,4.0,5.0
11,5.681818181818182,5.0,6.0
12,6.681818181818182,6.0,7.0
13,7.681818181818182,7.0,8.0
14,8.681818181818182,8.0,9.0
15,9.681818181818182,9.0,10.0
16,10.681818181818182,10.0,11.0
17,11.681818181818182,11.0,12.0
18,12.681818181818182,12.0,13.0
19,13.681818181818182,13.0,14.0
20,14.681818181818182,14.0,15.0
21,15.681818181818182,15.0,16.0
22,16.681818181818183,16.0,17.0
23,17.681818181818183,17.0,18.0
24,18.681818181818183,18.0,19.0
25,19.681818181818183,19.0,20.0
26,20.681818181818183,20.0,21.0
27,21.681818181818183,21.0,22.0
28,22.681818181818183,22.0,23.0
29,23.681818181818183,23.0,24.0
30,24.681818181818183,24.0,25.0
