Day of isolation,Mean,Lower_CI,Upper_CI
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.004993757802746567,0.0,0.0
4,0.023096129837702872,0.0,0.0
5,0.054619225967540576,0.0,1.0
6,0.10143570536828964,0.0,2.0
7,0.19350811485642946,0.0,3.0
8,0.35268414481897625,0.0,4.0
9,0.5795880149812734,0.0,5.0
10,0.8420724094881398,0.0,6.0
11,1.1463795255930087,0.0,7.0
12,1.5596129837702872,0.0,8.0
13,2.131710362047441,0.0,9.0
14,2.8080524344569286,0.0,10.0
15,3.5461922596754056,0.0,11.0
16,4.357990012484395,0.0,12.0
17,5.230337078651686,0.0,13.0
18,6.138888888888889,0.0,14.0
19,7.066167290886392,0.0,15.0
20,8.007802746566792,0.0,16.0
21,8.961298377028713,0.0,17.0
22,9.923220973782772,0.0,18.0
23,10.88920099875156,0.0,19.0
24,11.861423220973784,0.0,20.0
25,12.835205992509364,0.0,21.0
26,13.809612983770288,0.0,22.0
27,14.785580524344569,1.0,23.0
28,15.761548064918852,2.0,24.0
29,16.738139825218475,3.0,25.0
30,17.714731585518102,4.0,26.0
