Day of isolation,Mean,Lower_CI,Upper_CI
0,2.8267326732673266,1.0,15.0
1,1.8267326732673268,0.0,14.0
2,1.4579207920792079,0.0,13.0
3,1.2103960396039604,0.0,12.0
4,0.9851485148514851,0.0,11.0
5,0.8242574257425742,0.0,10.0
6,0.6905940594059405,0.0,9.0
7,0.5816831683168316,0.0,8.0
8,0.4801980198019802,0.0,7.0
9,0.3886138613861386,0.0,6.0
10,0.297029702970297,0.0,5.0
11,0.21287128712871287,0.0,4.0
12,0.14603960396039603,0.0,3.0
13,0.09405940594059406,0.0,2.0
14,0.0594059405940594,0.0,1.0
15,0.0297029702970297,0.0,0.0
16,0.0049504950495049506,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
