Day of isolation,Mean,Lower_CI,Upper_CI
0,10.818667033324166,8.0,14.0
1,9.820298242543936,7.0,13.0
2,8.823585660358491,6.0,12.0
3,7.828573035674109,5.0,11.0
4,6.834510387240319,4.0,10.0
5,5.840753981150471,3.0,9.0
6,4.847260068498287,2.0,8.0
7,3.854622384440389,1.0,7.0
8,2.866603334916627,0.0,6.0
9,1.9166020849478762,0.0,5.0
10,1.0855728606784831,0.0,4.0
11,0.4840003999900003,0.0,3.0
12,0.1730081747956301,0.0,2.0
13,0.06533586660333492,0.0,1.0
14,0.031924201894952625,0.0,0.0
15,0.01997450063748406,0.0,0.0
16,0.013987150321241969,0.0,0.0
17,0.01038099047523812,0.0,0.0
18,0.007906052348691283,0.0,0.0
19,0.005962350941226469,0.0,0.0
20,0.004531136721581961,0.0,0.0
21,0.003537411564710882,0.0,0.0
22,0.002743681407964801,0.0,0.0
23,0.00214369640758981,0.0,0.0
24,0.0016312092197695058,0.0,0.0
25,0.0012124696882577935,0.0,0.0
26,0.0008499787505312367,0.0,0.0
27,0.0005499862503437414,0.0,0.0
28,0.0003437414064648384,0.0,0.0
29,0.00016249593760155997,0.0,0.0
30,0.0,0.0,0.0
