Day of isolation,Mean,Lower_CI,Upper_CI
0,12.194381952255968,11.0,15.0
1,11.194381952255968,10.0,14.0
2,10.194381952255968,9.0,13.0
3,9.194381952255968,8.0,12.0
4,8.194381952255968,7.0,11.0
5,7.194381952255968,6.0,10.0
6,6.194381952255968,5.0,9.0
7,5.194381952255968,4.0,8.0
8,4.194381952255968,3.0,7.0
9,3.194381952255968,2.0,6.0
10,2.194788151481065,1.0,5.0
11,1.2130671166104237,0.0,4.0
12,0.4452880889888764,0.0,3.0
13,0.1256092988376453,0.0,2.0
14,0.03858892638420197,0.0,1.0
15,0.012248468941382326,0.0,0.0
16,0.004624421947256593,0.0,0.0
17,0.001999750031246094,0.0,0.0
18,0.0004374453193350831,0.0,0.0
19,0.00012498437695288088,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
