Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9999679899348742,0.9999999999999999
1,0.9998916702776575,0.9998146497329139,0.9999366876925582
2,0.998383387220426,0.9981395771136715,0.9985952907578154
3,0.9982000599980001,0.9979437653098,0.9984244598534677
4,0.9977250758308056,0.9974391276096602,0.9979791596277668
5,0.997258424719176,0.9969462461279665,0.9975387687612663
6,0.996633445551815,0.9962894422662062,0.9969456542995522
7,0.9959751341621946,0.995600691761767,0.9963178241699315
8,0.9951084963834539,0.9946976003055534,0.9954876955509271
9,0.9940668644378521,0.9936162581661765,0.9944858404845134
10,0.9916502783240558,0.9911194763583463,0.9921496047749089
11,0.9717759408019733,0.9708237250935683,0.9726979533531985
12,0.772149261691277,0.7697674173020937,0.7745136830492788
13,0.33931368954368185,0.3366400199596938,0.34199764628619483
14,0.11060464651178294,0.10884256162904667,0.11239166053576881
15,0.03944868504383187,0.03836199267118364,0.040564861971651066
16,0.017041098630045666,0.016324144370588486,0.017788971981274642
17,0.010232992233592213,0.009679062276898357,0.010818277137916135
18,0.007808073064231192,0.007325597666479241,0.008322058653254279
19,0.005883137228759041,0.005465985277537121,0.00633192260589501
20,0.004841505283157228,0.0044643186964988466,0.0052503919811424885
21,0.004324855838138728,0.003969115196287821,0.004712329667281279
22,0.0038915369487683743,0.0035548046253906416,0.0042600302005694896
23,0.0034832172260924636,0.003165400942232669,0.003832820579057471
24,0.0031832272257591413,0.0028800318442847033,0.0035182288817376876
25,0.002983233892203593,0.002690174589576199,0.003308112272934359
26,0.0027915736142128597,0.002508553992352945,0.0031064245842921073
27,0.002583247225092497,0.002311541640690009,0.002886797494796884
28,0.0024915836138795374,0.0022250011030813636,0.0027900166782959396
29,0.002391586947101763,0.0021307023421298353,0.0026843285074915515
30,0.002299923335888804,0.002044367761522949,0.002587341733988849
