Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,1.0,1.0
1,1.0,1.0,1.0
2,0.9994,0.9993,0.9995
3,0.9977,0.9974,0.9979
4,0.996,0.9957,0.9963
5,0.9942,0.9938,0.9946
6,0.9925,0.9921,0.9929
7,0.9919,0.9914,0.9923
8,0.9913,0.9908,0.9917
9,0.9905,0.99,0.991
10,0.9888,0.9882,0.9893
11,0.9688,0.9679,0.9696
12,0.7478,0.7457,0.7499
13,0.3085,0.3062,0.3107
14,0.0892,0.0878,0.0906
15,0.0275,0.0267,0.0283
16,0.0121,0.0116,0.0126
17,0.0067,0.0063,0.0071
18,0.0044,0.0041,0.0047
19,0.0033,0.003,0.0036
20,0.0027,0.0024,0.0029
21,0.002,0.0018,0.0023
22,0.0017,0.0015,0.0019
23,0.0013,0.0011,0.0014
24,0.001,0.0009,0.0012
25,0.0006,0.0005,0.0008
26,0.0004,0.0003,0.0005
27,0.0003,0.0002,0.0004
28,0.0002,0.0002,0.0003
29,0.0002,0.0001,0.0002
30,0.0001,0.0001,0.0002
