Day of isolation,Mean,Lower_CI,Upper_CI
0,19.115559927732065,1.4691986540958215,49.77737210924215
1,18.65810486958765,1.0601627683432895,49.24002635291389
2,16.719609646964606,0.0,47.30182225961123
3,15.0409407774438,0.0,45.2372347805201
4,13.39981452923361,0.0,43.06981511670213
5,11.832405462649062,0.0,40.82783061337213
6,10.361834569816466,0.0,38.54010230162497
7,9.002651732670682,0.0,36.2335715883153
8,7.764227414005029,0.0,33.931619901972084
9,6.652766410824626,0.0,31.65341944602174
10,5.672480102384121,0.0,29.414096882785277
11,4.826288524187958,0.0,27.225318858993884
12,4.10257484193712,0.0,25.095987336647266
13,3.493687179342221,0.0,23.032877278194384
14,2.9789243744184346,0.0,21.04115758026894
15,2.5454262489107156,0.0,19.124792417499044
16,2.1541701537556524,0.0,17.286841684012224
17,1.805587693532791,0.0,15.529683288353933
18,1.5000072207310426,0.0,13.855177120958746
19,1.237492554792054,0.0,12.264786544203172
20,1.0131059089565726,0.0,10.75966900170219
21,0.820627465465898,0.0,9.340744157177728
22,0.6566696448555803,0.0,8.0087455981419
23,0.5213199374673131,0.0,6.764260402470022
24,0.4106795644684524,0.0,5.607759720902778
25,0.3229571193887789,0.0,4.5396225150687535
26,0.2490117934511356,0.0,3.560154182500778
27,0.18381253944935186,0.0,2.6696012335859063
28,0.12737474267100823,0.0,1.8681628925081206
29,0.07881820560116562,0.0,1.1560003488170958
30,0.036357554197800776,0.0,0.5332441282344114
