Day of isolation,Mean,Lower_CI,Upper_CI
0,15.825445015018321,12.810135972224373,19.291535556609098
1,15.30236423171911,12.285242366490728,18.76206324277255
2,13.757850529352199,10.936812479042258,16.93025521800297
3,11.707836259878917,9.088296878059754,14.679488358403779
4,9.611394941937498,7.239986295504801,12.409192480616372
5,7.662138311324731,5.5268721955038025,10.293131258991824
6,5.907920028560203,4.0240816339363095,8.375792413518555
7,4.371058046319896,2.7295186053701825,6.687190576475582
8,3.0569369217931115,1.6722087416772071,5.212107373114378
9,1.9789283469860015,0.8595817729385127,3.9197799922971877
10,1.1305511383857159,0.2998886565022012,2.8087154583617195
11,0.5213955044746523,0.01171649176372025,1.8844890539960604
12,0.14340321701872982,0.0,1.1536355284336235
13,0.0,0.0,0.6026604439728502
14,0.0,0.0,0.22634388806631112
15,0.0,0.0,0.025186478493882447
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
