Day of isolation,Mean,Lower_CI,Upper_CI
0,0.0,0.0,0.0
1,0.004456138596535086,0.0,0.0
2,0.010149746256343592,0.0,0.0
3,0.016393340166495837,0.0,0.0
4,0.022974425639359017,0.0,0.0
5,0.030367990800229994,0.0,0.0
6,0.03911777205569861,0.0,0.0
7,0.062285942851428716,0.0,0.0
8,0.3230481737956551,0.0,1.0
9,1.1914264643383916,0.0,2.0
10,2.1802329941751455,1.0,3.0
11,3.1767830804229895,2.0,4.0
12,4.174220644483888,3.0,5.0
13,5.17206444838879,4.0,6.0
14,6.1703394915127125,5.0,7.0
15,7.169108272293193,6.0,8.0
16,8.168277043073923,7.0,9.0
17,9.167677058073549,8.0,10.0
18,10.167239569010775,9.0,11.0
19,11.166902077448064,10.0,12.0
20,12.166658333541662,11.0,13.0
21,13.166452088697783,12.0,14.0
22,14.166339591510212,13.0,15.0
23,15.16623959401015,14.0,16.0
24,16.16613959651009,15.0,17.0
25,17.166070848228795,16.0,18.0
26,18.166070848228795,17.0,19.0
27,19.166070848228795,18.0,20.0
28,20.166070848228795,19.0,21.0
29,21.166070848228795,20.0,22.0
30,22.166070848228795,21.0,23.0
