Day of isolation,Mean,Lower_CI,Upper_CI
0,5.132184483043938,0.0,20.679192296615323
1,5.132184483043938,0.0,20.679192296615323
2,4.207687292106874,0.0,19.002736330073784
3,3.418116607071101,0.0,17.21918511063995
4,2.7364776400578794,0.0,15.389871299263113
5,2.1544853264117525,0.0,13.599476736988818
6,1.674320348467059,0.0,12.157584457074796
7,1.2982335652111792,0.0,10.75893046839548
8,1.0124277927437269,0.0,9.415880369603636
9,0.7997403530855419,0.0,8.139703386432034
10,0.6383593633034222,0.0,6.939408495436988
11,0.5153447964365407,0.0,5.822124019246608
12,0.41911916517394743,0.0,4.79345319644778
13,0.33932424996868066,0.0,3.857782483204981
14,0.2724718362962727,0.0,3.010354516089168
15,0.21765494159888538,0.0,2.262492620571
16,0.17383994444642986,0.0,1.6201985399043832
17,0.1387157053763334,0.0,1.0870220688718513
18,0.10953032463218997,0.0,0.6582765710058976
19,0.0858605309918079,0.0,0.3349410919233318
20,0.06657034094098942,0.0,0.11777741344213097
21,0.051352933978573365,0.0,0.007378282662513904
22,0.03917221781860522,0.0,0.0
23,0.02886363119503498,0.0,0.0
24,0.02040155506278178,0.0,0.0
25,0.01379739896259502,0.0,0.0
26,0.009060557901217696,0.0,0.0
27,0.005783022430340532,0.0,0.0
28,0.003289430350015523,0.0,0.0
29,0.0015615954250172675,0.0,0.0
30,0.0006020486006555728,0.0,0.0
